payment_id,customer_id,staff_id,rental_id,amount,payment_date
25204,272,2,7300,7.99,2020-04-27 10:18:43.996577+00
25205,272,2,7658,2.99,2020-04-27 23:37:38.996577+00
25206,272,1,8248,7.99,2020-04-28 22:10:22.996577+00
25207,272,2,9787,10.99,2020-04-30 07:54:45.996577+00
25208,273,2,3556,2.99,2020-04-06 00:14:39.996577+00
25209,273,1,4937,5.99,2020-04-08 19:58:25.996577+00
25210,273,1,5256,7.99,2020-04-09 11:24:11.996577+00
25211,273,2,5435,7.99,2020-04-09 18:56:33.996577+00
25212,273,1,5605,2.99,2020-04-10 02:35:11.996577+00
25213,273,1,6592,8.99,2020-04-12 04:48:01.996577+00
25214,273,1,6635,1.99,2020-04-12 07:16:24.996577+00
25215,273,2,6696,2.99,2020-04-12 10:12:30.996577+00
25216,273,1,6717,5.99,2020-04-12 11:03:28.996577+00
25217,273,1,8449,2.99,2020-04-29 05:10:51.996577+00
25218,273,1,9186,4.99,2020-04-30 09:42:14.996577+00
25219,273,2,9285,5.99,2020-04-30 12:54:34.996577+00
25220,273,2,9391,0.99,2020-04-30 17:17:07.996577+00
25221,273,2,9693,3.99,2020-04-30 04:40:16.996577+00
25222,273,2,9729,0.99,2020-04-30 06:12:09.996577+00
25223,274,2,3532,5.99,2020-04-05 22:53:04.996577+00
25224,274,1,4147,2.99,2020-04-07 06:00:38.996577+00
25225,274,2,4582,2.99,2020-04-08 03:37:35.996577+00
25226,274,2,6389,3.99,2020-04-11 19:46:46.996577+00
25227,274,2,8259,0.99,2020-04-28 22:33:42.996577+00
25228,274,2,8406,5.99,2020-04-29 04:03:11.996577+00
25229,274,2,8517,7.99,2020-04-29 07:29:14.996577+00
25230,274,1,9331,4.99,2020-04-30 15:15:16.996577+00
25231,274,1,9677,4.99,2020-04-30 04:08:11.996577+00
25232,274,2,10059,4.99,2020-04-30 16:49:15.996577+00
25233,275,2,4396,0.99,2020-04-07 18:42:45.996577+00
25234,275,1,4634,0.99,2020-04-08 06:08:28.996577+00
25235,275,2,4912,9.99,2020-04-08 18:54:37.996577+00
25236,275,2,6301,5.99,2020-04-11 15:22:35.996577+00
25237,275,2,6856,0.99,2020-04-12 17:18:42.996577+00
25238,275,1,7553,2.99,2020-04-27 19:40:02.996577+00
25239,275,2,7596,4.99,2020-04-27 21:02:23.996577+00
25240,275,1,8746,2.99,2020-04-29 16:31:41.996577+00
25241,275,2,9258,2.99,2020-04-30 11:59:57.996577+00
25242,276,2,3714,2.99,2020-04-06 08:19:54.996577+00
25243,276,1,4715,0.99,2020-04-08 09:44:03.996577+00
25244,276,2,5186,4.99,2020-04-09 07:47:06.996577+00
25245,276,2,5246,4.99,2020-04-09 10:53:44.996577+00
25246,276,2,7282,5.99,2020-04-27 09:28:45.996577+00
25247,276,2,7842,2.99,2020-04-28 06:38:32.996577+00
25248,276,1,9070,0.99,2020-04-30 05:09:05.996577+00
25249,276,1,9080,1.99,2020-04-30 05:31:05.996577+00
25250,276,1,9102,4.99,2020-04-30 06:16:46.996577+00
25251,276,1,9229,8.99,2020-04-30 11:06:43.996577+00
25252,276,2,10149,5.99,2020-04-30 19:49:12.996577+00
25253,277,2,3740,5.99,2020-04-06 09:24:01.996577+00
25254,277,2,3897,2.99,2020-04-06 16:40:09.996577+00
25255,277,1,4290,4.99,2020-04-07 13:15:36.996577+00
25256,277,2,4987,5.99,2020-04-08 22:14:07.996577+00
25257,277,1,5861,0.99,2020-04-10 15:42:48.996577+00
25258,277,1,5913,2.99,2020-04-10 18:27:21.996577+00
25259,277,2,6455,2.99,2020-04-11 22:30:24.996577+00
25260,277,1,6487,5.99,2020-04-11 23:45:26.996577+00
25261,277,2,7423,4.99,2020-04-27 14:40:13.996577+00
25262,277,2,8410,2.99,2020-04-29 04:10:02.996577+00
25263,277,2,9669,4.99,2020-04-30 04:00:02.996577+00
25264,277,1,9901,0.99,2020-04-30 11:49:25.996577+00
25265,278,1,3776,2.99,2020-04-06 11:00:03.996577+00
25266,278,1,4430,4.99,2020-04-07 20:03:50.996577+00
25267,278,2,4866,8.99,2020-04-08 16:38:25.996577+00
25268,278,2,6869,4.99,2020-04-12 17:40:32.996577+00
25269,278,1,7239,0.99,2020-04-27 07:48:53.996577+00
25270,278,2,7834,0.99,2020-04-28 06:15:09.996577+00
25271,278,2,8222,5.99,2020-04-28 21:20:19.996577+00
25272,278,1,8953,4.99,2020-04-30 00:49:31.996577+00
25273,278,2,9448,2.99,2020-04-30 19:24:39.996577+00
25274,279,1,4476,4.99,2020-04-07 22:02:51.996577+00
25275,279,1,4978,7.99,2020-04-08 21:50:28.996577+00
25276,279,2,5248,2.99,2020-04-09 10:58:10.996577+00
25277,279,1,5361,9.99,2020-04-09 15:43:58.996577+00
25278,279,1,6176,0.99,2020-04-11 08:16:47.996577+00
25279,279,1,7947,2.99,2020-04-28 10:34:16.996577+00
25280,279,2,8559,3.99,2020-04-29 08:54:20.996577+00
25281,279,2,9820,5.99,2020-04-30 09:15:23.996577+00
25282,279,2,10177,2.99,2020-04-30 21:10:59.996577+00
25283,280,1,4616,4.99,2020-04-08 05:16:38.996577+00
25284,280,2,6851,0.99,2020-04-12 17:00:40.996577+00
25285,280,1,7070,4.99,2020-04-27 01:29:34.996577+00
25286,280,2,7901,0.99,2020-04-28 08:40:38.996577+00
25287,280,2,8319,0.99,2020-04-29 01:13:18.996577+00
25288,280,1,8365,0.99,2020-04-29 02:39:26.996577+00
25289,280,1,8565,7.99,2020-04-29 09:03:49.996577+00
25290,280,2,8695,6.99,2020-04-29 14:13:21.996577+00
25291,280,2,8744,3.99,2020-04-29 16:26:50.996577+00
25292,280,1,8912,0.99,2020-04-29 22:59:51.996577+00
25293,280,2,9103,0.99,2020-04-30 06:17:52.996577+00
25294,281,1,4607,0.99,2020-04-08 04:43:40.996577+00
25295,281,2,4864,6.99,2020-04-08 16:34:00.996577+00
25296,281,2,5410,5.99,2020-04-09 17:49:36.996577+00
25297,281,2,6825,0.99,2020-04-12 15:56:38.996577+00
25298,281,2,7034,2.99,2020-04-27 00:32:03.996577+00
25299,281,1,7525,3.99,2020-04-27 18:41:54.996577+00
25300,281,2,8131,0.99,2020-04-28 17:23:47.996577+00
25301,281,2,8180,4.99,2020-04-28 19:33:50.996577+00
25302,282,2,3675,2.99,2020-04-06 06:37:45.996577+00
25303,282,1,3885,2.99,2020-04-06 16:12:09.996577+00
25304,282,1,4359,2.99,2020-04-07 16:58:46.996577+00
25305,282,2,4412,4.99,2020-04-07 19:25:19.996577+00
25306,282,1,5113,0.99,2020-04-09 04:34:44.996577+00
25307,282,2,5319,8.99,2020-04-09 13:46:10.996577+00
25308,282,1,5926,6.99,2020-04-10 19:22:08.996577+00
25309,282,1,7433,2.99,2020-04-27 15:00:46.996577+00
25310,282,2,7534,3.99,2020-04-27 18:54:43.996577+00
25311,282,1,8223,6.99,2020-04-28 21:24:27.996577+00
25312,282,2,8270,4.99,2020-04-28 22:55:48.996577+00
25313,282,2,8468,1.99,2020-04-29 05:54:30.996577+00
25314,282,2,8743,0.99,2020-04-29 16:25:27.996577+00
25315,282,2,8973,1.99,2020-04-30 01:37:39.996577+00
25316,282,2,9658,9.99,2020-04-30 03:29:18.996577+00
25317,283,1,3534,4.99,2020-04-05 23:00:53.996577+00
25318,283,1,3568,6.99,2020-04-06 00:40:23.996577+00
25319,283,2,3590,4.99,2020-04-06 02:03:38.996577+00
25320,283,2,3672,0.99,2020-04-06 06:30:22.996577+00
25321,283,2,4683,2.99,2020-04-08 08:06:54.996577+00
25322,283,2,4876,1.99,2020-04-08 16:56:16.996577+00
25323,283,2,5989,2.99,2020-04-10 22:26:19.996577+00
25324,283,1,6075,0.99,2020-04-11 02:31:29.996577+00
25325,283,1,6300,1.99,2020-04-11 15:18:35.996577+00
25326,283,2,6313,0.99,2020-04-11 15:58:18.996577+00
25327,283,1,6827,4.99,2020-04-12 16:02:11.996577+00
25328,283,1,7504,0.99,2020-04-27 17:52:57.996577+00
25329,283,1,7816,0.99,2020-04-28 05:42:38.996577+00
25330,283,2,9353,4.99,2020-04-30 15:59:03.996577+00
25331,283,2,9478,2.99,2020-04-30 20:41:19.996577+00
25332,283,2,9572,2.99,2020-04-30 00:12:36.996577+00
25333,283,2,9918,2.99,2020-04-30 12:23:48.996577+00
25334,284,1,3572,0.99,2020-04-06 01:01:49.996577+00
25335,284,2,4081,2.99,2020-04-07 02:38:34.996577+00
25336,284,1,4759,7.99,2020-04-08 12:07:48.996577+00
25337,284,2,4931,7.99,2020-04-08 19:44:44.996577+00
25338,284,1,5161,6.99,2020-04-09 06:26:22.996577+00
25339,284,1,6276,5.99,2020-04-11 13:44:16.996577+00
25340,284,2,6982,2.99,2020-04-26 22:22:07.996577+00
25341,284,1,7164,6.99,2020-04-27 05:05:00.996577+00
25342,284,1,7463,4.99,2020-04-27 16:16:58.996577+00
25343,284,2,7716,8.99,2020-04-28 02:01:41.996577+00
25344,284,1,8888,2.99,2020-04-29 22:08:02.996577+00
25345,284,1,9790,0.99,2020-04-30 08:02:34.996577+00
25346,285,2,4007,6.99,2020-04-06 21:54:31.996577+00
25347,285,2,5112,2.99,2020-04-09 04:32:30.996577+00
25348,285,1,5683,9.99,2020-04-10 06:20:39.996577+00
25349,285,1,6010,0.99,2020-04-10 23:20:54.996577+00
25350,285,2,6083,3.99,2020-04-11 02:41:15.996577+00
25351,285,1,6094,4.99,2020-04-11 03:23:08.996577+00
25352,285,2,6333,4.99,2020-04-11 16:48:42.996577+00
25353,285,2,6644,0.99,2020-04-12 08:08:05.996577+00
25354,285,1,7211,6.99,2020-04-27 06:48:26.996577+00
25355,285,1,7452,9.99,2020-04-27 15:55:05.996577+00
25356,285,1,7745,9.99,2020-04-28 03:14:54.996577+00
25357,285,1,8154,4.99,2020-04-28 18:24:44.996577+00
25358,285,2,8466,0.99,2020-04-29 05:53:13.996577+00
25359,286,2,3592,4.99,2020-04-06 02:07:16.996577+00
25360,286,2,3692,3.99,2020-04-06 07:22:38.996577+00
25361,286,2,4242,6.99,2020-04-07 11:07:27.996577+00
25362,286,2,4461,9.99,2020-04-07 21:28:09.996577+00
25363,286,1,4707,4.99,2020-04-08 09:25:54.996577+00
25364,286,1,4894,2.99,2020-04-08 17:49:57.996577+00
25365,286,1,5796,4.99,2020-04-10 12:11:20.996577+00
25366,286,2,6611,2.99,2020-04-12 05:48:49.996577+00
25367,286,1,7254,2.99,2020-04-27 08:17:16.996577+00
25368,286,1,7299,2.99,2020-04-27 10:18:22.996577+00
25369,286,1,7368,0.99,2020-04-27 12:34:31.996577+00
25370,286,1,7422,2.99,2020-04-27 14:39:08.996577+00
25371,286,1,7719,6.99,2020-04-28 02:07:35.996577+00
25372,286,2,8399,0.99,2020-04-29 03:48:44.996577+00
25373,286,2,9280,6.99,2020-04-30 12:44:04.996577+00
25374,286,1,9809,3.99,2020-04-30 08:47:47.996577+00
25375,286,2,10105,5.99,2020-04-30 18:22:46.996577+00
25376,287,2,4877,4.99,2020-04-08 16:59:28.996577+00
25377,287,2,5346,1.99,2020-04-09 14:57:27.996577+00
25378,287,1,5593,3.99,2020-04-10 02:01:39.996577+00
25379,287,2,5761,0.99,2020-04-10 10:14:02.996577+00
25380,287,2,6379,3.99,2020-04-11 19:19:51.996577+00
25381,287,1,6397,2.99,2020-04-11 20:02:28.996577+00
25382,287,2,7402,2.99,2020-04-27 13:48:06.996577+00
25383,287,2,7777,2.99,2020-04-28 04:33:08.996577+00
25384,287,2,8994,6.99,2020-04-30 02:19:58.996577+00
25385,287,2,9716,1.99,2020-04-30 05:52:19.996577+00
25386,287,1,10027,6.99,2020-04-30 16:02:17.996577+00
25387,288,1,3958,3.99,2020-04-06 19:35:59.996577+00
25388,288,1,4692,2.99,2020-04-08 08:35:32.996577+00
25389,288,2,4758,0.99,2020-04-08 12:06:28.996577+00
25390,288,1,6399,2.99,2020-04-11 20:07:31.996577+00
25391,288,2,6518,3.99,2020-04-12 01:28:08.996577+00
25392,288,2,7744,0.99,2020-04-28 03:06:46.996577+00
25393,288,2,7855,2.99,2020-04-28 07:11:28.996577+00
25394,288,2,9429,2.99,2020-04-30 18:47:52.996577+00
25395,288,1,9732,0.99,2020-04-30 06:24:34.996577+00
25396,289,1,3588,2.99,2020-04-06 01:57:39.996577+00
25397,289,2,4622,0.99,2020-04-08 05:31:08.996577+00
25398,289,1,5089,4.99,2020-04-09 03:14:06.996577+00
25399,289,2,5342,8.99,2020-04-09 14:48:29.996577+00
25400,289,2,5584,4.99,2020-04-10 01:43:51.996577+00
25401,289,2,5724,0.99,2020-04-10 08:46:38.996577+00
25402,289,2,6007,3.99,2020-04-10 23:11:32.996577+00
25403,289,2,6536,7.99,2020-04-12 02:12:51.996577+00
25404,289,1,7151,4.99,2020-04-27 04:42:57.996577+00
25405,289,1,7162,4.99,2020-04-27 05:01:11.996577+00
25406,289,2,7325,0.99,2020-04-27 11:15:21.996577+00
25407,289,1,9498,2.99,2020-04-30 21:25:21.996577+00
25408,290,2,4039,4.99,2020-04-07 00:26:25.996577+00
25409,290,1,4073,0.99,2020-04-07 02:17:39.996577+00
25410,290,2,4416,0.99,2020-04-07 19:33:02.996577+00
25411,290,1,5105,2.99,2020-04-09 04:07:25.996577+00
25412,290,2,5214,5.99,2020-04-09 09:11:34.996577+00
25413,290,2,5827,2.99,2020-04-10 13:50:46.996577+00
25414,290,2,6816,4.99,2020-04-12 15:47:16.996577+00
25415,290,1,6952,4.99,2020-04-26 21:19:53.996577+00
25416,290,2,7265,2.99,2020-04-27 08:47:27.996577+00
25417,290,1,7650,1.99,2020-04-27 23:15:46.996577+00
25418,290,1,8639,4.99,2020-04-29 11:58:57.996577+00
25419,290,1,9000,7.99,2020-04-30 02:27:21.996577+00
25420,290,1,9413,0.99,2020-04-30 18:13:05.996577+00
25421,290,2,10096,3.99,2020-04-30 18:07:24.996577+00
25422,290,1,10194,1.99,2020-04-30 22:02:18.996577+00
25423,291,2,3512,4.99,2020-04-05 22:11:32.996577+00
25424,291,2,4862,3.99,2020-04-08 16:31:12.996577+00
25425,291,2,5754,2.99,2020-04-10 10:01:09.996577+00
25426,291,2,6516,4.99,2020-04-12 01:20:20.996577+00
25427,291,1,6796,2.99,2020-04-12 14:12:42.996577+00
25428,291,1,7561,5.99,2020-04-27 19:49:31.996577+00
25429,291,2,7564,0.99,2020-04-27 19:59:43.996577+00
25430,291,1,8690,0.99,2020-04-29 14:07:54.996577+00
25431,291,2,8697,4.99,2020-04-29 14:14:33.996577+00
25432,291,1,9165,5.99,2020-04-30 08:52:54.996577+00
25433,291,2,9201,5.99,2020-04-30 10:10:47.996577+00
25434,291,2,9919,7.99,2020-04-30 12:24:12.996577+00
25435,292,2,3557,0.99,2020-04-06 00:17:05.996577+00
25436,292,1,4200,4.99,2020-04-07 08:43:37.996577+00
25437,292,2,5095,4.99,2020-04-09 03:36:48.996577+00
25438,292,2,5257,0.99,2020-04-09 11:25:09.996577+00
25439,292,1,5940,4.99,2020-04-10 19:59:27.996577+00
25440,292,1,6270,8.99,2020-04-11 13:27:36.996577+00
25441,292,1,6900,6.99,2020-04-12 19:13:51.996577+00
25442,292,2,7199,5.99,2020-04-27 06:21:49.996577+00
25443,292,1,7216,2.99,2020-04-27 06:56:11.996577+00
25444,292,1,7545,2.99,2020-04-27 19:16:29.996577+00
25445,292,1,7766,4.99,2020-04-28 04:10:23.996577+00
25446,292,1,8047,2.99,2020-04-28 14:18:09.996577+00
25447,292,2,8842,4.99,2020-04-29 20:32:06.996577+00
25448,292,1,8990,8.99,2020-04-30 02:10:08.996577+00
25449,292,1,9792,5.99,2020-04-30 08:12:07.996577+00
25450,292,2,9819,1.99,2020-04-30 09:07:39.996577+00
25451,293,1,3906,3.99,2020-04-06 17:04:21.996577+00
25452,293,2,4343,0.99,2020-04-07 16:17:20.996577+00
25453,293,2,4542,4.99,2020-04-08 01:34:56.996577+00
25454,293,2,4944,6.99,2020-04-08 20:12:54.996577+00
25455,293,2,5765,3.99,2020-04-10 10:31:28.996577+00
25456,293,1,6432,9.99,2020-04-11 21:38:07.996577+00
25457,293,2,7607,4.99,2020-04-27 21:34:19.996577+00
25458,293,1,8589,4.99,2020-04-29 09:56:43.996577+00
25459,293,1,8745,2.99,2020-04-29 16:31:31.996577+00
25460,293,2,9123,2.99,2020-04-30 07:07:41.996577+00
25461,294,1,3681,4.99,2020-04-06 06:47:56.996577+00
25462,294,2,4019,4.99,2020-04-06 22:56:10.996577+00
25463,294,1,4786,7.99,2020-04-08 13:41:31.996577+00
25464,294,2,6185,5.99,2020-04-11 08:53:35.996577+00
25465,294,2,7415,6.99,2020-04-27 14:19:25.996577+00
25466,294,1,7765,4.99,2020-04-28 04:08:59.996577+00
25467,294,2,8843,4.99,2020-04-29 20:32:51.996577+00
25468,294,2,9194,2.99,2020-04-30 09:57:11.996577+00
25469,294,1,9522,2.99,2020-04-30 22:23:37.996577+00
25470,294,2,9607,0.99,2020-04-30 01:19:32.996577+00
25471,294,2,10186,0.99,2020-04-30 21:41:02.996577+00
25472,294,2,10220,4.99,2020-04-30 22:41:48.996577+00
25473,295,2,3496,1.99,2020-04-05 21:27:41.996577+00
25474,295,1,3876,9.99,2020-04-06 15:49:39.996577+00
25475,295,1,4164,1.99,2020-04-07 06:48:37.996577+00
25476,295,1,4432,1.99,2020-04-07 20:08:28.996577+00
25477,295,1,5019,2.99,2020-04-08 23:32:58.996577+00
25478,295,2,5053,4.99,2020-04-09 01:28:12.996577+00
25479,295,2,5283,2.99,2020-04-09 12:35:43.996577+00
25480,295,2,5994,4.99,2020-04-10 22:42:36.996577+00
25481,295,1,6252,2.99,2020-04-11 12:34:55.996577+00
25482,295,2,6331,3.99,2020-04-11 16:45:47.996577+00
25483,295,2,8087,0.99,2020-04-28 15:49:42.996577+00
25484,295,1,8108,7.99,2020-04-28 16:36:04.996577+00
25485,295,1,8840,9.99,2020-04-29 20:24:04.996577+00
25486,295,2,8932,2.99,2020-04-29 23:59:52.996577+00
25487,295,1,9425,7.99,2020-04-30 18:39:47.996577+00
25488,295,2,9692,8.99,2020-04-30 04:39:30.996577+00
25489,295,2,9793,4.99,2020-04-30 08:13:37.996577+00
25490,295,2,10160,4.99,2020-04-30 20:36:06.996577+00
25491,295,2,10222,0.99,2020-04-30 22:46:08.996577+00
25492,296,2,3486,7.99,2020-04-05 20:58:21.996577+00
25493,296,1,3810,2.99,2020-04-06 12:47:10.996577+00
25494,296,1,4480,4.99,2020-04-07 22:24:56.996577+00
25495,296,2,5090,0.99,2020-04-09 03:16:48.996577+00
25496,296,1,5589,4.99,2020-04-10 01:51:24.996577+00
25497,296,2,6016,4.99,2020-04-10 23:33:11.996577+00
25498,296,1,6398,5.99,2020-04-11 20:03:15.996577+00
25499,296,1,6967,6.99,2020-04-26 21:44:57.996577+00
25500,296,2,7568,4.99,2020-04-27 20:07:19.996577+00
25501,296,2,8171,0.99,2020-04-28 19:01:23.996577+00
25502,296,1,9249,5.99,2020-04-30 11:43:28.996577+00
25503,296,1,9304,2.99,2020-04-30 14:10:00.996577+00
25504,297,1,3582,0.99,2020-04-06 01:39:01.996577+00
25505,297,2,4621,2.99,2020-04-08 05:30:44.996577+00
25506,297,1,4929,5.99,2020-04-08 19:34:44.996577+00
25507,297,1,5743,8.99,2020-04-10 09:26:04.996577+00
25508,297,2,6036,2.99,2020-04-11 00:30:54.996577+00
25509,297,1,6064,6.99,2020-04-11 01:51:44.996577+00
25510,297,1,6156,4.99,2020-04-11 07:14:14.996577+00
25511,297,1,6984,2.99,2020-04-26 22:24:56.996577+00
25512,297,2,7867,0.99,2020-04-28 07:37:20.996577+00
25513,297,1,7933,0.99,2020-04-28 09:55:53.996577+00
25514,297,2,9014,2.99,2020-04-30 02:47:53.996577+00
25515,297,2,9674,5.99,2020-04-30 04:05:19.996577+00
25516,297,1,10153,0.99,2020-04-30 19:58:36.996577+00
25517,298,2,3479,0.99,2020-04-05 20:37:19.996577+00
25518,298,1,3728,2.99,2020-04-06 08:57:26.996577+00
25519,298,2,4291,2.99,2020-04-07 13:16:13.996577+00
25520,298,1,4936,3.99,2020-04-08 19:53:16.996577+00
25521,298,2,5166,2.99,2020-04-09 06:44:14.996577+00
25522,298,1,5247,2.99,2020-04-09 10:54:54.996577+00
25523,298,2,6802,0.99,2020-04-12 14:42:43.996577+00
25524,298,2,7802,0.99,2020-04-28 05:20:23.996577+00
25525,298,1,7869,7.99,2020-04-28 07:41:41.996577+00
25526,298,2,8737,5.99,2020-04-29 16:00:39.996577+00
25527,299,2,3497,0.99,2020-04-05 21:28:29.996577+00
25528,299,2,4153,5.99,2020-04-07 06:21:34.996577+00
25529,299,1,4350,2.99,2020-04-07 16:31:07.996577+00
25530,299,2,5033,1.99,2020-04-09 00:10:27.996577+00
25531,299,1,5642,2.99,2020-04-10 04:14:34.996577+00
25532,299,2,6732,0.99,2020-04-12 11:27:17.996577+00
25533,299,1,6853,7.99,2020-04-12 17:06:37.996577+00
25534,299,1,7264,4.99,2020-04-27 08:47:24.996577+00
25535,299,1,7746,2.99,2020-04-28 03:17:22.996577+00
25536,299,2,7862,9.99,2020-04-28 07:30:51.996577+00
25537,299,1,9520,2.99,2020-04-30 22:19:20.996577+00
25538,299,1,10201,0.99,2020-04-30 22:10:44.996577+00
25539,300,1,3775,0.99,2020-04-06 10:55:59.996577+00
25540,300,1,4030,0.99,2020-04-06 23:54:08.996577+00
25541,300,2,5562,2.99,2020-04-10 00:46:08.996577+00
25542,300,1,5705,10.99,2020-04-10 07:37:43.996577+00
25543,300,2,6111,4.99,2020-04-11 04:55:23.996577+00
25544,300,1,6822,5.99,2020-04-12 15:52:05.996577+00
25545,300,1,6998,4.99,2020-04-26 22:44:55.996577+00
25546,300,1,7815,4.99,2020-04-28 05:42:37.996577+00
25547,300,1,8117,6.99,2020-04-28 16:48:42.996577+00
25548,300,1,8210,6.99,2020-04-28 20:59:31.996577+00
25549,300,1,8283,3.99,2020-04-28 23:20:48.996577+00
25550,300,1,9078,0.99,2020-04-30 05:29:26.996577+00
25551,300,2,9127,2.99,2020-04-30 07:15:02.996577+00
25552,300,2,9791,0.99,2020-04-30 08:03:48.996577+00
25553,301,2,4316,4.99,2020-04-07 15:12:48.996577+00
25554,301,2,4834,3.99,2020-04-08 15:36:11.996577+00
25555,301,1,5119,6.99,2020-04-09 04:42:44.996577+00
25556,301,2,5511,4.99,2020-04-09 22:28:26.996577+00
25557,301,2,5730,2.99,2020-04-10 08:56:58.996577+00
25558,301,2,5807,2.99,2020-04-10 12:44:56.996577+00
25559,301,2,6833,6.99,2020-04-12 16:22:00.996577+00
25560,301,2,7318,4.99,2020-04-27 10:53:57.996577+00
25561,301,2,7818,4.99,2020-04-28 05:53:26.996577+00
25562,301,2,9435,4.99,2020-04-30 18:59:28.996577+00
25563,302,2,4676,4.99,2020-04-08 07:54:28.996577+00
25564,302,2,5498,0.99,2020-04-09 21:55:47.996577+00
25565,302,2,5682,2.99,2020-04-10 06:20:05.996577+00
25566,302,2,5709,0.99,2020-04-10 08:00:18.996577+00
25567,302,2,5821,4.99,2020-04-10 13:35:42.996577+00
25568,302,2,6623,7.99,2020-04-12 06:34:00.996577+00
25569,302,1,7183,0.99,2020-04-27 05:47:04.996577+00
25570,302,1,7411,6.99,2020-04-27 14:10:56.996577+00
25571,302,1,8363,6.99,2020-04-29 02:38:34.996577+00
25572,302,2,8646,0.99,2020-04-29 12:17:14.996577+00
25573,302,1,8795,2.99,2020-04-29 18:32:40.996577+00
25574,302,1,9146,7.99,2020-04-30 08:00:34.996577+00
25575,302,2,9358,2.99,2020-04-30 16:05:50.996577+00
25576,302,1,9374,8.99,2020-04-30 16:38:29.996577+00
25577,302,2,9581,5.99,2020-04-30 00:31:33.996577+00
25578,303,1,5140,4.99,2020-04-09 05:33:25.996577+00
25579,303,1,6205,4.99,2020-04-11 09:59:50.996577+00
25580,303,2,6219,4.99,2020-04-11 10:47:03.996577+00
25581,303,1,6464,4.99,2020-04-11 22:45:06.996577+00
25582,303,1,7023,4.99,2020-04-27 00:01:10.996577+00
25583,303,2,7502,2.99,2020-04-27 17:47:34.996577+00
25584,303,1,8409,0.99,2020-04-29 04:09:48.996577+00
25585,303,2,8734,6.99,2020-04-29 15:56:41.996577+00
25586,303,2,8764,0.99,2020-04-29 17:07:30.996577+00
25587,303,2,10209,2.99,2020-04-30 22:25:13.996577+00
25588,304,1,4466,6.99,2020-04-07 21:41:19.996577+00
25589,304,2,4812,8.99,2020-04-08 14:35:37.996577+00
25590,304,1,5411,2.99,2020-04-09 17:52:04.996577+00
25591,304,1,5712,4.99,2020-04-10 08:08:58.996577+00
25592,304,2,5749,3.99,2020-04-10 09:49:02.996577+00
25593,304,2,5795,0.99,2020-04-10 12:04:55.996577+00
25594,304,2,6107,0.99,2020-04-11 04:35:35.996577+00
25595,304,1,6737,4.99,2020-04-12 11:45:18.996577+00
25596,304,2,7551,4.99,2020-04-27 19:27:41.996577+00
25597,304,2,8055,4.99,2020-04-28 14:30:58.996577+00
